Customer Name,Customer Type,Customer Age,Region,County,City,Branch,Sales Rep,Lead Source,Car Make,Car Model,Vehicle Type,Vehicle Year,Fuel Type,Transmission,Color,Units Sold,Unit Selling Price,Unit Cost,Discount %,Delivery Fee,Logistics Cost,Payment Method,Payment Status,Delivery Status,Customer Rating,Review Count,Returned,Revenue Recorded,Order IDs,Order Date Clean,Delivery Date Clean
James Kariuki,Ngo,67,Central,Kiambu,Thika,Thika Yard,Samuel Mutua,Referral,Mitsubishi,Canter,Truck,2020,Hybrid,Automatic,White,1,"3,544,000","3,151,000",0,"130,000",,Bank Transfer,Pending,Delivered,2.5,5,Not Returned,"3,565,680",ORD1124,"Sunday, 8 March 2026","Tuesday, 17 March 2026"
Faith Mwangi,Individual,67,Western,Kakamega,Kakamega,Kakamega Yard,Daniel Kimani,Facebook,Subaru,Subaru,Crossover,2017,Petrol,Automatic,Black,1,,"1,831,000",0,"84,000","73,000",Bank Transfer,Cancelled,Delivered,5,13,Returned,0,ORD1231,"Friday, 16 May 2025","Monday, 19 May 2025"
Victor Ochieng,Individual,68,Coast,Mombasa,Mombasa,Mombasa Port Yard,Grace Njeri,Instagram,Honda,Vezel,Crossover,2018,Petrol,Automatic,Silver,1,"2,789,000",,0,"40,000","40,000",Cash,Paid,Delayed,3.2,4,Returned,"2,270,200",LCL1102,"Sunday, 3 May 2026","Friday, 29 May 2026"
James Kariuki,Ngo,68,Nyanza Region,Kisumu,Kisumu,Kisumu Yard,Grace Njeri,Walk In,Honda,Vezel,Crossover,2024,Petrol,Automatic,White,1,"2,745,000","2,428,000",,,"142,000",Bank Transfer,Paid,Delivered,3.8,6,Returned,"1,231,625",ORD1015,,"Saturday, 29 November 2025"
Naomi Mutua,Corporate,,Coast,Mombasa,Mombasa,Mombasa Port Yard,Faith Achieng,Phone Call,Honda,Vezel,Crossover,2024,Hybrid,Automatic,Blue,1,"2,443,000","2,208,000",0,"52,000",,Cash,Paid,Delivered,2.8,29,Not Returned,"4,843,420",LC1224,"Friday, 21 March 2025","Sunday, 6 April 2025"
Joy Chebet,Car Dealer,,Nairobi,Nairobi,Nairobi,Nairobi Yard,Brian Otieno,Website,Toyota,Hiace,Van,2025,Petrol,Automatic,Blue,1,"5,377,000","4,429,000",0,"73,000","116,000",Bankers Cheque,Paid,At The Yard,4,4,Not Returned,"5,450,000",ORD1115,"Friday, 13 March 2026","Friday, 4 September 2026"
Grace Mutua,Government,,Nairobi,Nairobi,Nairobi,Nairobi Yard,Kevin Mwangi,Facebook,Toyota,Corolla,Sedan,2026,Petrol,Manual,Pearl,1,"1,932,000","1,648,000",0,"114,000","120,000",Bankers Cheque,Paid,Delivered,3.6,9,Returned,"1,814,160",LCL1011,"Monday, 2 June 2025","Tuesday, 17 June 2025"
Grace Nyambura,Government,,Eastern,Machakos,Athi River,Athi River Yard,Grace Njeri,Walk In,Mazda,Demio,Hatchback,2021,Petrol,A/T,Red,1,"1,269,000","1,085,000",0,"57,000","68,000",Bankers Cheque,Paid,At The Yard,4.7,34,Returned,"1,072,200",LCL1239,"Thursday, 14 May 2026","Tuesday, 6 January 2026"
Daniel Mugambi,Car Dealer,,Eastern,Machakos,Athi River,Athi River Yard,Mercy Atieno,Website,Mitsubishi,Canter,Truck,2015,Gasoline,M/T,Pearl,1,"3,583,000","2,884,000",0,0,"83,000",Cash,Pending,Delayed,2.1,0,Not Returned,"1,545,275",CAR1256,"Thursday, 29 May 2025",
Peter Maina,Corporate,,Nyanza Region,Kisumu,Kisumu,Kisumu Yard,Daniel Kimani,Corporate Tender,Nissan,Xtrail,Suv,2020,Petrol,Manual,Pearl,1,0,"2,632,000",1,"18,000","26,000",Bank Transfer,Cancelled,Cancelled,4.1,12,Returned,0,ORD1253,"Thursday, 27 February 2025","Tuesday, 18 March 2025"
Daniel Kimani,Individual,,Coast,Mombasa,Mombasa,Mombasa Port Yard,Peter Kiptoo,Facebook,Toyota,Harrier,Suv,2025,Gasoline,Manual,Black,1,"4,823,000","4,086,000",,"152,000","136,000",Asset Financing,Complete,Delivered,2.8,23,Not Returned,"4,733,850",LC1050,"Tuesday, 3 June 2025",
Joseph Mwangi,Ngo,,Central,Kiambu,Thika,Thika Yard,Mercy Atieno,Walk In,Toyota,Axio,Sedan,2017,Hybrid,Automatic,Blue,1,"1,651,000","1,489,000",0,"90,000","114,000",M-Pesa,Partially Paid,Delivered,3.8,32,Returned,"1,542,880",LCL1143,"Friday, 11 April 2025","Thursday, 5 June 2025"
Carol Maina,Retail,,Rift Valley,Uasin Gishu,Eldoret,Eldoret Yard,Brian Otieno,Instagram,Mitsubishi,Outlander,Suv,2025,Petrol,Manual,Black,1,"3,367,000","2,607,000",0,"146,000","201,000",Asset Financing,Pending,Delayed,3.4,11,Not Returned,"3,419,856",LC1208,"Friday, 25 April 2025","Thursday, 30 April 2026"
Kevin Mutua,Corporate,,Nyanza Region,Kisumu,Kisumu,Kisumu Yard,Aisha Mohamed,Walk In,Toyota,Hiace,Van,2026,Hybrid,M/T,White,1,"5,054,000","4,030,000",0,"177,000","133,000",Bankers Cheque,Partially Paid,In Transit,2.1,3,Not Returned,"4,978,300",ORD1123,"Sunday, 8 March 2026","Saturday, 4 April 2026"
Mercy Kariuki,Car Dealer,,Central,Kiambu,Thika,Thika Yard,Grace Njeri,Website,Toyota,Land Cruiser,Suv,2025,Petrol,Manual,Grey,1,"122,420,000","9,382,000",,"170,000",,M-Pesa,Deposit Paid,Delivered,3.6,15,Not Returned,"-2,283,399",LC1192,"Sunday, 6 April 2025","Friday, 18 April 2025"
John Njeri,Individual,,Nyanza Region,Kisumu,Kisumu,Kisumu Yard,Mercy Atieno,Walk In,Mitsubishi,Pajero,Suv,2018,Petrol,Manual,Black,1,"5,101,000","4,424,000",20,"80,000","124,000",Cash,Pending,Cancelled,3.5,34,Not Returned,"4,160,800",LCL1147,"Friday, 20 February 2026","Friday, 27 February 2026"
Unknown,Car Dealer,,Western,Kakamega,Kakamega,Kakamega Yard,Brian Otieno,Instagram,Toyota,Hiace,Van,2025,Hybrid,Manual,Grey,1,"5,612,000","4,319,000",0,"67,000","82,000",M-Pesa,Paid,At The Yard,,35,Not Returned,"5,286,160",CAR1177,,"Wednesday, 17 September 2025"
Linda Achieng,Government,22,Central,Kiambu,Thika,Thika Yard,Kevin Mwangi,Facebook,Subaru,Forester,Suv,2018,Petrol,Manual,Black,1,"3,507,000","2,876,000",0,"120,000","98,000",Cash,Completed,Delivered,2.6,26,Not Returned,"3,206,160",ORD1144,"Saturday, 23 August 2025",
Faith Achieng,Government,23,Western,Kakamega,Kakamega,Kakamega Yard,Daniel Kimani,Phone Call,Toyota,Fielder,Wagon,2026,Diesel,Manual,White,1,"1,965,000","1,712,000",0,"121,000","120,000",Asset Financing,Pending,Delivered,3.5,42,Not Returned,"2,086,000",ORD1066,"Wednesday, 4 March 2026","Sunday, 8 March 2026"
Samuel Kiptoo,Car Dealer,25,Coast,Mombasa,Mombasa,Mombasa Port Yard,Peter Kiptoo,Referral,Mercedes,C200,Saloon,2019,Petrol,Automatic,Green,1,"5,159,000","4,663,000",15,"73,000","78,000",Cash,Completed,Delivered,2.3,43,Not Returned,"4,458,150",ORD1090,"Friday, 5 June 2026","Friday, 22 May 2026"
James Maina,Corporate,25,Rift Valley,Nakuru,Nakuru,Nakuru Yard,Faith Achieng,Facebook,Honda,Fit,Hatchback,2015,Petrol,Manual,Blue,1,"1,275,000",,0,"160,000",,Bank Transfer,Paid,Delivered,2.4,41,Not Returned,"1,409,500",CAR1205,"Monday, 4 May 2026","Saturday, 4 July 2026"
John Kiptoo,Corporate,25,Rift Valley,Nakuru,Nakuru,Nakuru Yard,Samuel Mutua,Referral,Nissan,Xtrail,Suv,2020,Petrol,M/T,Green,1,"3,164,000","2,506,000",0,"33,000","60,000",M-Pesa,Paid,In Transit,4,17,Not Returned,"2,880,600",LCL1179,"Saturday, 3 October 2026","Saturday, 4 April 2026"
Linda Nyambura,Car Dealer,26,Western,Kakamega,Kakamega,Kakamega Yard,Mary Wanjiku,Referral,Nissan,Note,Hatchback,2026,Petrol,A/T,Silver,1,"1,283,000","1,000,000",0,"30,000","70,000",Asset Financing,Paid,Delivered,,24,Returned,,LCL1261,"Friday, 5 December 2025","Wednesday, 31 December 2025"
Daniel Otieno,Ngo,27,Central,Kiambu,Thika,Thika Yard,Grace Njeri,Corporate Tender,Mazda,Cx5,Suv,2016,Diesel,Manual,Blue,1,"3,746,000","3,299,000",0,"31,000","59,000",Cash,Pending,Delivered,2.1,24,Not Returned,"3,702,080",ORD1043,"Saturday, 18 October 2025","Thursday, 13 November 2025"
Kevin Otieno,County Government,28,Rift Valley,Uasin Gishu,Eldoret,Eldoret Yard,Samuel Mutua,Phone Call,Honda,Vezel,Crossover,2015,Diesel,Manual,White,1,"2,755,000","2,483,000",15,"40,000","73,000",Bankers Cheque,Paid,In Transit,4.3,0,Not Returned,"1,190,875",CAR1209,"Wednesday, 24 September 2025","Friday, 24 October 2025"
James Wafula,Ngo,28,Central,Kiambu,Thika,Thika Yard,Peter Kiptoo,Instagram,Subaru,Forester,Suv,2020,Hybrid,A/T,Pearl,1,"3,586,000","2,977,000",1,"106,000","84,000",Cash,Paid,Delivered,3.3,33,Not Returned,"-611,199",CAR1039,"Monday, 4 May 2026","Tuesday, 5 May 2026"
Mary Maina,Ngo,28,Rift Valley,Nakuru,Nakuru,Nakuru Yard,Faith Achieng,Facebook,Mercedes,C200,Sedan,2015,Diesel,A/T,Red,1,"5,736,000","4,678,000",0,"72,000","80,000",Cash,Complete,Delayed,2.4,1,Returned,"5,693,280",CAR1238,"Friday, 24 October 2025",
John Mwangi,Corporate,31,Coast,Mombasa,Mombasa,Mombasa Port Yard,Faith Achieng,Website,Mazda,Cx5,Suv,2016,Diesel,A/T,Blue,1,"3,656,000","3,320,000",0,"91,000","122,000",Bankers Cheque,Paid,In Transit,4.7,9,Not Returned,"3,200,000",ORD1138,"Thursday, 29 May 2025","Monday, 23 June 2025"
Grace Kimani,Ngo,32,Central,Kiambu,Thika,Thika Yard,Kevin Mwangi,Instagram,Toyota,Harrier,Suv,2016,Hybrid,Manual,Pearl,1,"5,067,000","4,499,000",5,"168,000","150,000",Bankers Cheque,Pending,Delivered,4.7,33,Not Returned,"4,981,650",ORD1166,"Thursday, 11 September 2025","Friday, 26 September 2025"
N/A,Car Dealer,32,Eastern,Machakos,Athi River,Athi River Yard,Faith Achieng,Phone Call,Volkswagen,Golf,Hatchback,2016,Diesel,M/T,Black,1,"1,944,000",0,0,"104,000","143,000",Cash,Paid,Delivered,4.1,14,Not Returned,"1,932,040",ORD1062,"Thursday, 27 February 2025","Tuesday, 25 March 2025"
James Chebet,Car Dealer,33,Nyanza Region,Kisumu,Kisumu,Kisumu Yard,Mercy Atieno,Facebook,Mitsubishi,Pajero,Suv,2019,Petrol,A/T,White,1,"5,268,000","4,117,000",0,"52,000","73,000",Cash,Paid,Delivered,3.9,8,Returned,"4,793,200",LCL1112,,"Friday, 6 March 2026"
Victor Maina,Individual,35,Rift Valley,Nakuru,Nakuru,Nakuru Yard,Mercy Atieno,Whatsapp,Toyota,Hillux,Pickup,2018,Petrol,A/T,Blue,1,"5,032,000","4,477,000",1,0,"222,000",Bankers Cheque,Paid,Delivered,3.4,25,Returned,"2,684,000",LC1137,"Wednesday, 14 May 2025","Thursday, 6 March 2025"
Carol Ochieng,Ngo,35,Western,Kakamega,Kakamega,Kakamega Yard,Brian Otieno,Phone Call,Toyota,Axio,Sedan,2021,Hybrid,A/T,Green,1,,"1,581,000",10,"97,000","157,000",Wire Transfer,Paid,At The Yard,2.5,24,Returned,"1,767,400",LCL1167,"Thursday, 30 April 2026","Monday, 17 March 2025"
Hassan Kimani,Car Dealer,35,Central,Kiambu,Thika,Thika Yard,Brian Otieno,Facebook,Toyota,Harrier,Suv,2016,Petrol,A/T,Silver,1,"4,994,000","4,186,000",0,"70,000","89,000",M-Pesa,Pending,In Transit,3.6,12,Returned,"4,814,300",CAR1051,"Saturday, 16 May 2026","Wednesday, 20 May 2026"
Joy Kariuki,Company,36,Eastern,Machakos,Athi River,Athi River Yard,Kevin Mwangi,Walk In,Nissan,Xtrail,Suv,2022,Petrol,A/T,Pearl,1,"3,631,000","2,829,000",0,"40,000","66,000",M-Pesa,Paid,Delivered,3.4,45,Not Returned,"3,676,000",LCL1236,"Wednesday, 17 September 2025","Wednesday, 3 September 2025"
Daniel Wafula,Corporate,38,Western,Kakamega,Kakamega,Kakamega Yard,Samuel Mutua,Corporate Tender,Bmw,Bmw X5,Sedan,2026,Diesel,A/T,Silver,1,"3,942,000","3,297,000",0,"29,000","75,000",Asset Financing,Paid,Delivered,3.6,,Returned,"3,695,059",ORD1010,"Monday, 13 April 2026","Monday, 5 January 2026"
Brian Kimani,Government,38,Central,Kiambu,Thika,Thika Yard,Aisha Mohamed,Facebook,Toyota,Prado Tx,Suv,2020,Hybrid,A/T,Green,1,"7,937,000","6,868,000",12,"119,000","133,000",Bank Transfer,Paid,Delivered,3.5,39,Returned,"7,103,560",ORD1027,"Wednesday, 23 April 2025","Thursday, 8 May 2025"
Winnie Achieng,Car Dealer,38,Western,Kakamega,Kakamega,Kakamega Yard,Aisha Mohamed,Website,Subaru,Forester,Suv,2020,Petrol,M/T,Grey,1,"3,535,000","2,774,000",2,"142,000","159,000",Wire Transfer,Paid,Delivered,3.5,24,Not Returned,"3,966,930",LC1091,"Saturday, 29 November 2025","Friday, 12 December 2025"
James Wafula,Government,39,Nyanza Region,Kisumu,Kisumu,Kisumu Yard,Grace Njeri,Referral,Mitsubishi,Pajero,Suv,2023,Diesel,Automatic,Grey,1,"4,376,000","3,530,000",,"93,000","116,000",Asset Financing,Paid,At The Yard,2.7,14,Returned,"4,162,679",ORD1252,"Thursday, 23 January 2025",
Kevin Muthoni,Corporate,39,Central,Kiambu,Thika,Thika Yard,Faith Achieng,Referral,Toyota,Prado Tx,Suv,2025,Diesel,Automatic,Pearl,1,"7,979,000","6,677,000",10,"60,000","62,000",Bank Transfer,Paid,Delivered,2.5,0,Not Returned,"7,241,100",LCL1180,"Wednesday, 18 February 2026","Friday, 27 February 2026"
Peter Maina,Individual,41,Rift Valley,Nakuru,Nakuru,Nakuru Yard,Daniel Kimani,Facebook,Toyota,Corolla,Saloon,2017,Hybrid,Manual,White,1,"2,147,000","1,830,000",0,"88,000","69,000",Asset Financing,Canceled,Cancelled,2.8,41,Not Returned,"2,084,709",ORD1161,"Monday, 10 November 2025",
Mercy Muthoni,Government,41,Nyanza Region,Kisumu,Kisumu,Kisumu Yard,Daniel Kimani,Whatsapp,Subaru,Forester,Suv,2020,Diesel,Automatic,Silver,1,0,"3,054,000",0,"54,000","63,000",Cash,Paid,In Transit,3.2,20,Not Returned,"3,648,800",LCL1237,"Tuesday, 16 December 2025","Wednesday, 4 November 2026"
John Achieng,Individual,41,Coast,Mombasa,Mombasa,Mombasa Port Yard,Samuel Mutua,Phone Call,Volkswagen,Golf,Hatchback,2025,Petrol,Manual,Silver,1,"1,927,000","1,730,000",2,"152,000",,Bankers Cheque,Paid,Delivered,5,20,Returned,"2,040,000",LC1251,"Wednesday, 15 January 2025","Monday, 5 May 2025"
Aisha Omondi,Individual,42,Western,Kakamega,Kakamega,Kakamega Yard,Brian Otieno,Website,Toyota,Harrier,Suv,2015,Hybrid,Manual,Grey,1,"3,937,000","3,540,000",0,"92,000","101,000",Asset Financing,Paid,Delivered,4.4,27,Not Returned,"3,782,295",ORD1220,"Friday, 17 January 2025","Friday, 24 January 2025"
Faith Muthoni,Corporate,42,Central,Kiambu,Thika,Thika Yard,Brian Otieno,Walk In,Isuzu,N-Series,Truck,2016,Petrol,Manual,Green,1,"4,916,000","4,095,000",3,"132,000","141,000",M-Pesa,Completed,Delivered,3.7,28,Not Returned,"4,900,520",ORD1122,"Thursday, 31 July 2025","Monday, 4 August 2025"
Hassan Maina,County Government,42,Nairobi,Nairobi,Nairobi,Nairobi Yard,Brian Otieno,Website,Toyota,Corolla,Sedan,2021,Diesel,Manual,White,1,"1,946,000","1,663,000",0,"120,000","190,000",Asset Financing,Refunded,At The Yard,3.7,24,Returned,0,LC1023,"Wednesday, 4 November 2026","Friday, 8 May 2026"
Joseph Kimani,Ngo,43,Nairobi,Nairobi,Nairobi,Nairobi Yard,Mercy Atieno,Corporate Tender,Toyota,Fielder,Wagon,2018,Petrol,Automatic,Red,1,"1,890,000","1,700,000",10,"36,000","57,000",Asset Financing,Paid,Cancelled,2.4,41,Not Returned,"1,732,500",ORD1174,"Saturday, 29 March 2025","Thursday, 17 April 2025"
Linda Wanjiku,Ngo,44,Nairobi,Nairobi,Nairobi,Nairobi Yard,Brian Otieno,Corporate Tender,Subaru,Impreza,Saloon,2024,Hybrid,A/T,Pearl,1,"1,728,000","1,452,000",0,"153,000","175,000",Bankers Cheque,Deposit Paid,Cancelled,3.9,6,Returned,"810,900",ORD1095,"Tuesday, 13 May 2025","Monday, 19 May 2025"
Aisha Wafula,Government,45,Rift Valley,Nakuru,Nakuru,Nakuru Yard,Aisha Mohamed,Phone Call,Toyota,Fielder,Wagon,2025,Petrol,Automatic,Grey,1,"1,876,000","1,669,000",0,"86,000","119,000",Cash,Awaiting Payment,Delivered,4.7,10,Not Returned,"1,962,000",LCL1116,"Monday, 16 March 2026","Friday, 4 September 2026"
Grace Otieno,Government,45,Central,Kiambu,Thika,Thika Yard,Kevin Mwangi,Referral,Subaru,Outback,Wagon,2015,Gasoline,A/T,Grey,1,"4,018,000","3,654,000",0,"67,000","99,000",Cash,Paid,At The Yard,2.9,32,Not Returned,"3,602,840",LCL1118,"Monday, 1 December 2025","Saturday, 13 December 2025"
Faith Wafula,Government,45,Western,Kakamega,Kakamega,Kakamega Yard,Brian Otieno,Referral,Nissan,Juke,Crossover,2025,Electric,Manual,Blue,1,"2,200,000","1,798,000",0,"130,000","127,000",Bankers Cheque,Pending,Delivered,4.6,28,Not Returned,,CAR1169,"Sunday, 21 December 2025","Sunday, 4 January 2026"
Mercy Wanjiku,Corporate,45,Rift Valley,Uasin Gishu,Eldoret,Eldoret Yard,Kevin Mwangi,Corporate Tender,Honda,Vezel,Crossover,2025,Hybrid,A/T,Black,1,"2,920,000","2,588,000",0,"140,000","188,000",M-Pesa,Complete,Cancelled,,1,Not Returned,,ORD1009,"Thursday, 4 September 2025","Wednesday, 30 April 2025"
Winnie Muthoni,Car Dealer,45,Western,Kakamega,Kakamega,Kakamega Yard,Grace Njeri,Corporate Tender,Honda,Vezel,Crossover,2015,Diesel,Automatic,White,1,"2,990,000","2,670,000",0,"30,000","42,000",Bankers Cheque,Paid,In Transit,4.3,2,Returned,"2,869,300",ORD1163,"Tuesday, 28 October 2025","Monday, 16 February 2026"
Naomi Muthoni,Individual,46,Rift Valley,Nakuru,Nakuru,Nakuru Yard,Daniel Kimani,Facebook,Mitsubishi,Outlander,Suv,2018,Petrol,A/T,Grey,1,"3,326,000","2,562,000",0,"51,000","82,000",Cash,Paid,Delayed,4.4,36,Returned,"3,044,400",LCL1002,"Wednesday, 26 March 2025","Sunday, 6 April 2025"
Mary Omondi,Car Dealer,47,Western,Kakamega,Kakamega,Kakamega Yard,Peter Kiptoo,Website,Toyota,Fielder,Wagon,2023,Petrol,Manual,Green,1,"1,990,000","1,697,000",0,"142,000","144,000",Wire Transfer,Cancelled,Delivered,2.2,,Returned,0,LC1257,"Monday, 12 January 2026","Tuesday, 20 January 2026"
James Muthoni,Government,48,Central,Kiambu,Thika,Thika Yard,Faith Achieng,Instagram,Nissan,Juke,Crossover,2026,Petrol,Automatic,Pearl,1,"2,166,000","1,847,000",0,"80,000","100,000",Asset Financing,Pending,Delivered,2.5,10,Returned,"2,244,000",LC1006,"Monday, 20 October 2025","Monday, 27 October 2025"
Hassan Maina,Individual,48,Nairobi,Nairobi,Nairobi,Nairobi Yard,Peter Kiptoo,Referral,Toyota,Prado Tx,Suv,2020,Petrol,Manual,Red,1,"6,760,000","5,654,000",0,"70,000","86,000",Bankers Cheque,Paid,Delivered,2.5,29,Returned,"6,830,000",LC1045,,"Tuesday, 26 August 2025"
Samuel Njeri,Car Dealer,49,Western,Kakamega,Kakamega,Kakamega Yard,Mercy Atieno,Instagram,Bmw,Bmw X5,Suv,2023,Diesel,Manual,Pearl,1,"9,573,000","7,362,000",2,"155,000","230,000",Bankers Cheque,Paid,At The Yard,3.3,26,Not Returned,"19,073,080",LCL1075,"Tuesday, 23 December 2025","Tuesday, 13 January 2026"
Hassan Mutua,Car Dealer,49,Central,Kiambu,Thika,Thika Yard,Kevin Mwangi,Facebook,Volkswagen,Tiguan,Suv,2018,Petrol,A/T,Grey,1,"4,943,000","4,111,000",,"111,000","128,000",Asset Financing,Paid,Delivered,4.7,7,Returned,"4,955,140",ORD1111,"Sunday, 2 November 2025","Saturday, 29 November 2025"
Joy Wanjiku,Individual,51,Coast,Mombasa,Mombasa,Mombasa Port Yard,Aisha Mohamed,Whatsapp,Toyota,Prado Tx,Suv,2021,Petrol,Automatic,Blue,1,"7,151,000","5,443,000",0,"131,000","164,000",Cash,Pending,Delivered,4.5,19,Returned,,LC1093,"Saturday, 21 June 2025","Monday, 21 July 2025"
Brian Maina,Ngo,52,Rift Valley,Uasin Gishu,Eldoret,Eldoret Yard,Faith Achieng,Walk In,Mazda,Demio,Hatchback,2023,Diesel,A/T,Pearl,1,"1,185,000","948,000",0,"141,000","159,000",M-Pesa,Paid,In Transit,4,,Not Returned,"1,290,450",CAR1273,"Wednesday, 17 June 2026","Friday, 10 July 2026"
Peter Maina,Ngo,52,Eastern,Machakos,Athi River,Athi River Yard,Daniel Kimani,Instagram,Subaru,Outback,Wagon,2024,Petrol,Automatic,White,1,"3,558,000","3,082,000",0,"156,000","233,000",Bank Transfer,Paid,In Transit,4.8,,Returned,"3,464,940",LC1188,"Thursday, 2 January 2025","Sunday, 5 January 2025"
Mary Mohamed,Car Dealer,53,Eastern,Machakos,Athi River,Athi River Yard,Peter Kiptoo,Walk In,Honda,Vezel,Crossover,1899,Electric,Manual,White,1,"2,601,000","2,350,000",5,"68,000","103,000",Bank Transfer,Pending,Delivered,2.8,32,Returned,"2,538,950",LCL1152,"Thursday, 21 August 2025","Saturday, 30 August 2025"
Faith Otieno,Individual,53,Central,Kiambu,Thika,Thika Yard,Aisha Mohamed,Whatsapp,Nissan,Xtrail,Suv,2026,Petrol,Automatic,Red,1,"3,604,000",,15,"104,000","89,000",Cash,Pending,Delivered,2.1,1,Not Returned,"3,167,400",LCL1036,"Sunday, 5 January 2025","Friday, 24 January 2025"
Kevin Njeri,Individual,53,Coast,Mombasa,Mombasa,Mombasa Port Yard,Peter Kiptoo,Whatsapp,Toyota,Harrier,Suv,2022,Petrol,Automatic,Red,1,"4,615,000","4,036,000",0,0,"180,000",Bankers Cheque,Paid,Delivered,5,4,Not Returned,"4,306,500",ORD1194,"Thursday, 10 July 2025","Saturday, 28 February 2026"
Grace Chebet,Car Dealer,54,Coast,Mombasa,Mombasa,Mombasa Port Yard,Aisha Mohamed,Corporate Tender,Toyota,Prado Tx,Suv,2015,Petrol,Automatic,White,1,"7,473,000","6,501,000",0,"70,000","129,000",Bankers Cheque,Paid,Delivered,,35,Not Returned,"7,019,890",LCL1159,"Tuesday, 21 January 2025","Wednesday, 5 February 2025"
Mercy Mohamed,Individual,54,Nyanza Region,Kisumu,Kisumu,Kisumu Yard,Faith Achieng,Corporate Tender,Subaru,Impreza,Sedan,2021,Petrol,A/T,Silver,1,"2,177,000","1,699,000",0,"64,000","74,000",Asset Financing,Completed,In Transit,2.2,42,Not Returned,"1,914,450",ORD1047,"Thursday, 16 April 2026","Sunday, 26 April 2026"
Hassan Kariuki,Ngo,54,Coast,Mombasa,Mombasa,Mombasa Port Yard,Kevin Mwangi,Phone Call,Volkswagen,Tiguan,Suv,2025,Petrol,Automatic,Pearl,1,"5,036,000","4,380,000",0,"25,000","55,000",Bank Transfer,Complete,In Transit,3.2,25,Not Returned,"4,557,400",LCL1024,"Monday, 23 February 2026",
James Kiptoo,Government,55,Eastern,Machakos,Athi River,Athi River Yard,Peter Kiptoo,Instagram,Mercedes,Gle,Suv,,Petrol,Manual,Silver,1,"11,837,000","10,733,000",0,"41,000","60,000",M-Pesa,Pending,At The Yard,2.6,6,Not Returned,"11,878,000",LCL1061,"Saturday, 15 March 2025","Thursday, 3 April 2025"
Daniel Maina,Corporate,55,Rift Valley,Nakuru,Nakuru,Nakuru Yard,Mary Wanjiku,Walk In,Isuzu,Dmax,Pickup,2023,Hybrid,Automatic,Red,1,"4,302,000","3,753,000",0,"42,000","38,000",Bank Transfer,Paid,In Transit,3,10,Not Returned,"4,214,940",LC1104,"Wednesday, 9 April 2025","Monday, 21 April 2025"
Winnie Kiptoo,Individual,56,Eastern,Machakos,Athi River,Athi River Yard,Samuel Mutua,Facebook,Toyota,Corolla,Sedan,1899,Electric,Automatic,Red,1,"2,015,000","1,676,000",0,"82,000","96,000",Bankers Cheque,Paid,Delivered,2.4,12,Not Returned,"1,794,750",ORD1175,"Friday, 3 October 2025","Wednesday, 22 October 2025"
Naomi Otieno,Individual,57,Central,Kiambu,Thika,Thika Yard,Faith Achieng,Referral,Toyota,Hillux,Pickup,2018,Gasoline,A/T,White,1,"6,132,000","5,461,000",10,"137,000","103,000",M-Pesa,Partial,In Transit,4.2,16,Not Returned,"6,193,980",ORD1254,"Saturday, 4 October 2025","Wednesday, 30 April 2025"
Joseph Mugambi,Ngo,57,Nyanza Region,Kisumu,Kisumu,Kisumu Yard,Mercy Atieno,Walk In,Volkswagen,Tiguan,Suv,2019,Petrol,Automatic,White,1,"4,093,000","3,477,000",0,"138,000","104,000",M-Pesa,Cancelled,Cancelled,2.1,34,Not Returned,0,LCL1054,"Wednesday, 12 November 2025","Tuesday, 23 December 2025"
Hassan Wanjiku,Car Dealer,57,Nairobi,Nairobi,Nairobi,Nairobi Yard,Brian Otieno,Referral,Bmw,Bmw X5,Sedan,2016,Diesel,M/T,Pearl,1,"4,349,000","3,923,000",0,"40,000","65,000",Bankers Cheque,Cancelled,Cancelled,,12,Not Returned,0,LCL1249,"Sunday, 26 October 2025",
Grace Otieno,Individual,58,Rift Valley,Nakuru,Nakuru,Nakuru Yard,Grace Njeri,Corporate Tender,Honda,Fit,Hatchback,2026,Petrol,A/T,Green,1,"1,458,000","1,277,000",5,"142,000","223,000",Bank Transfer,Cancelled,Cancelled,1,21,Returned,0,LCL1190,"Thursday, 27 November 2025","Friday, 19 December 2025"
Faith Otieno,Individual,58,Rift Valley,Uasin Gishu,Eldoret,Eldoret Yard,Mercy Atieno,Phone Call,Mitsubishi,Outlander,Suv,2019,Petrol,Manual,Black,1,"3,433,000","3,046,000",,"70,000","96,000",Bank Transfer,Paid,Delivered,2.5,24,Returned,"3,434,340",CAR1087,"Wednesday, 4 June 2025","Friday, 6 June 2025"
Winnie Njeri,Car Dealer,58,Nairobi,Nairobi,Nairobi,Nairobi Yard,Kevin Mwangi,Website,Toyota,Harrier,Suv,2025,Diesel,Manual,White,1,"4,102,000","3,684,000",1,"83,000","98,000",Asset Financing,Refunded,In Transit,2.5,1,Returned,"737,399",CAR1223,"Thursday, 3 September 2026","Tuesday, 28 April 2026"
Naomi Chebet,Government,58,Western,Kakamega,Kakamega,Kakamega Yard,Mercy Atieno,Referral,Mercedes,C200,Sedan,2021,Petrol,Automatic,Blue,1,"4,549,000","4,065,000",0,"121,000",,M-Pesa,Partially Paid,Delayed,4.6,10,Not Returned,"4,215,100",ORD1078,"Tuesday, 3 November 2026","Thursday, 30 April 2026"
